epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1736.6,1.13912,2.00248,1.19589,0.52649,0.2559,0.27233,0.18632,1.07234,1.58907,1.04766,0.000332126,0.000332126,0.000332126
2,3464.37,1.09012,1.34363,1.17026,0.65201,0.33046,0.34023,0.24837,0.79844,1.2316,0.97196,0.000652283,0.000652283,0.000652283
3,5239.4,1.1016,1.14872,1.17305,0.34935,0.41733,0.30579,0.22448,0.83711,1.08806,0.98429,0.00095924,0.00095924,0.00095924
4,6957.6,1.0643,1.01619,1.15897,0.32615,0.39321,0.3482,0.26193,0.75332,0.89311,0.96116,0.0009406,0.0009406,0.0009406
5,8791.31,1.03152,0.9316,1.13599,0.40312,0.44284,0.41047,0.31323,0.75732,0.77895,0.95205,0.0009208,0.0009208,0.0009208
6,10520.6,1.00437,0.86637,1.13048,0.2945,0.37447,0.31941,0.24671,0.69462,0.82326,0.93149,0.000901,0.000901,0.000901
7,12233.5,0.97554,0.82513,1.11577,0.44609,0.43704,0.40992,0.32646,0.68162,0.6909,0.9269,0.0008812,0.0008812,0.0008812
8,14016.4,0.9737,0.80599,1.10939,0.72011,0.39676,0.41277,0.32516,0.7327,0.72613,0.92977,0.0008614,0.0008614,0.0008614
9,15793.8,0.94963,0.78684,1.10295,0.4045,0.45137,0.36596,0.29139,0.70333,0.7287,0.92317,0.0008416,0.0008416,0.0008416
10,17436.8,0.92868,0.7501,1.09174,0.50897,0.38865,0.43074,0.30872,0.76106,0.68876,0.94374,0.0008218,0.0008218,0.0008218
11,19083.3,0.89793,0.71567,1.076,0.52591,0.40089,0.44295,0.36672,0.57966,0.63786,0.88027,0.000802,0.000802,0.000802
12,20742.2,0.89475,0.70118,1.07274,0.69916,0.44977,0.45104,0.36222,0.68569,0.67897,0.9078,0.0007822,0.0007822,0.0007822
13,22412.9,0.88293,0.68853,1.07168,0.47324,0.3806,0.39714,0.32437,0.7556,0.70518,0.94123,0.0007624,0.0007624,0.0007624
14,24071.2,0.89682,0.68435,1.07196,0.72964,0.42105,0.43366,0.35846,0.66297,0.62785,0.89834,0.0007426,0.0007426,0.0007426
15,25790.3,0.85647,0.64772,1.05663,0.47161,0.40516,0.41928,0.32828,0.63212,0.60508,0.89325,0.0007228,0.0007228,0.0007228
16,27612.1,0.85622,0.64356,1.06597,0.41011,0.46012,0.44184,0.36662,0.59376,0.61935,0.88658,0.000703,0.000703,0.000703
17,29401.3,0.8553,0.63629,1.06129,0.43703,0.4974,0.43525,0.35396,0.68259,0.6159,0.91073,0.0006832,0.0006832,0.0006832
18,31148,0.82932,0.62473,1.04313,0.71214,0.46387,0.4606,0.37894,0.55467,0.58173,0.86491,0.0006634,0.0006634,0.0006634
19,32932.8,0.83142,0.60245,1.04789,0.47214,0.46761,0.45144,0.38025,0.57536,0.57213,0.86607,0.0006436,0.0006436,0.0006436
20,34784.6,0.81498,0.58995,1.03372,0.5738,0.42946,0.48932,0.41333,0.55253,0.53005,0.86416,0.0006238,0.0006238,0.0006238
21,36583.8,0.80802,0.57177,1.0273,0.48473,0.47556,0.4701,0.39493,0.57266,0.53167,0.86497,0.000604,0.000604,0.000604
22,38367.6,0.79518,0.5651,1.0251,0.52811,0.43288,0.4696,0.39563,0.55433,0.559,0.85133,0.0005842,0.0005842,0.0005842
23,40178.6,0.79433,0.55711,1.02341,0.70466,0.41428,0.40131,0.33755,0.58349,0.57447,0.87564,0.0005644,0.0005644,0.0005644
24,42052.4,0.78685,0.54739,1.02471,0.79616,0.42002,0.45819,0.3884,0.58671,0.5313,0.87302,0.0005446,0.0005446,0.0005446
25,43907.6,0.78227,0.53869,1.02193,0.43519,0.44214,0.4386,0.37804,0.54208,0.55035,0.86439,0.0005248,0.0005248,0.0005248
26,45751.6,0.77209,0.52664,1.01635,0.70758,0.46825,0.47962,0.40399,0.53845,0.49696,0.84829,0.000505,0.000505,0.000505
27,47594.4,0.76914,0.5279,1.01822,0.72866,0.45332,0.47041,0.4039,0.52292,0.51065,0.84917,0.0004852,0.0004852,0.0004852
28,49481.1,0.76369,0.50265,1.01254,0.5534,0.42933,0.48387,0.40871,0.53427,0.49789,0.86077,0.0004654,0.0004654,0.0004654
29,51341.6,0.75189,0.49912,1.01356,0.48046,0.49999,0.47604,0.41027,0.50994,0.47667,0.84762,0.0004456,0.0004456,0.0004456
30,53210.6,0.73518,0.48879,0.99741,0.51484,0.49691,0.49635,0.42655,0.53812,0.49201,0.85266,0.0004258,0.0004258,0.0004258
31,55075.4,0.73549,0.48714,1.00098,0.49682,0.49941,0.50803,0.43793,0.51721,0.48237,0.84883,0.000406,0.000406,0.000406
32,56938.4,0.71362,0.46921,0.99339,0.74831,0.5295,0.51424,0.44357,0.49712,0.47494,0.83632,0.0003862,0.0003862,0.0003862
33,58798.2,0.71501,0.4612,0.98479,0.44784,0.57702,0.49399,0.42076,0.52267,0.48037,0.84075,0.0003664,0.0003664,0.0003664
34,60671.2,0.71475,0.46031,0.98915,0.75689,0.52493,0.50046,0.42925,0.50067,0.46874,0.84046,0.0003466,0.0003466,0.0003466
35,62569.7,0.70505,0.44955,0.98046,0.73288,0.52205,0.50862,0.43052,0.51875,0.48035,0.85335,0.0003268,0.0003268,0.0003268
